Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
129,Entry Short,做空:110,2024-01-16 23:00,42791.0,0.002338,1.24,1.24,31.50,0.95,1.24,1.24,0.35,0.35
128,Exit Short,盈109,2024-01-16 23:00,42441.7,0.002334,0.98,0.98,30.26,0.76,0.98,0.98,0.71,0.71
128,Entry Short,做空:109,2024-01-16 20:00,42861.0,0.002334,0.98,0.98,30.26,0.76,0.98,0.98,0.71,0.71
127,Exit Short,盈108,2024-01-01 07:00,42265.4,0.002344,0.89,0.89,29.28,0.69,0.89,0.89,0.15,0.15
127,Entry Short,做空:108,2024-01-01 05:00,42643.3,0.002344,0.89,0.89,29.28,0.69,0.89,0.89,0.15,0.15
126,Exit Long,盈107,2023-12-29 23:00,43110.4,0.002346,1.18,1.18,28.40,0.93,1.18,1.18,0.86,0.86
126,Entry Long,做多:107,2023-12-29 12:00,42607.4,0.002346,1.18,1.18,28.40,0.93,1.18,1.18,0.86,0.86
125,Exit Long,盈106,2023-12-18 23:00,41714.3,0.002434,1.44,1.44,27.22,1.15,1.44,1.44,0.52,0.52
125,Entry Long,做多:106,2023-12-18 21:00,41120.4,0.002434,1.44,1.44,27.22,1.15,1.44,1.44,0.52,0.52
124,Exit Long,盈105,2023-12-18 02:00,42231.4,0.002393,0.98,0.98,25.77,0.79,0.98,0.98,0.29,0.29
124,Entry Long,做多:105,2023-12-18 01:00,41820.2,0.002393,0.98,0.98,25.77,0.79,0.98,0.98,0.29,0.29
123,Exit Short,盈104,2023-12-14 22:00,42593.1,0.002319,1.19,1.2,24.79,0.97,1.19,1.2,0.03,0.03
123,Entry Short,做空:104,2023-12-14 22:00,43108.3,0.002319,1.19,1.2,24.79,0.97,1.19,1.2,0.03,0.03
122,Exit Long,盈103,2023-12-12 16:00,42013.2,0.002426,1.93,1.93,23.59,1.59,1.93,1.93,0.17,0.17
122,Entry Long,做多:103,2023-12-12 07:00,41215.8,0.002426,1.93,1.93,23.59,1.59,1.93,1.93,0.17,0.17
121,Exit Long,盈102,2023-12-11 06:00,44042.6,0.002284,0.66,0.66,21.66,0.55,0.66,0.66,0.01,0.01
121,Entry Long,做多:102,2023-12-10 21:00,43753.0,0.002284,0.66,0.66,21.66,0.55,0.66,0.66,0.01,0.01
120,Exit Short,损101,2023-12-03 04:00,39258.2,0.002583,-1.46,-1.46,21.00,-1.19,0.19,0.19,1.46,1.46
120,Entry Short,做空:101,2023-12-02 04:00,38695.0,0.002583,-1.46,-1.46,21.00,-1.19,0.19,0.19,1.46,1.46
119,Exit Long,盈100,2023-12-01 13:00,38225.6,0.002636,0.79,0.79,22.45,0.65,0.79,0.79,0.21,0.21
119,Entry Long,做多:100,2023-12-01 11:00,37924.7,0.002636,0.79,0.79,22.45,0.65,0.79,0.79,0.21,0.21
118,Exit Long,盈97,2023-12-01 13:00,38188.3,0.00264,1.27,1.27,21.66,1.05,1.27,1.27,0.31,0.31
118,Entry Long,做多:99,2023-12-01 09:00,37708.4,0.00264,1.27,1.27,21.66,1.05,1.27,1.27,0.31,0.31
117,Exit Long,盈98,2023-12-01 11:00,38045.2,0.000011,0.004,0.89,20.39,0,0.004,0.89,0.001,0.31
117,Entry Long,做多:99,2023-12-01 09:00,37708.4,0.000011,0.004,0.89,20.39,0,0.004,0.89,0.001,0.31
116,Exit Long,盈98,2023-12-01 11:00,38045.2,0.002644,1.06,1.07,20.39,0.89,1.06,1.07,0.16,0.17
116,Entry Long,做多:98,2023-12-01 02:00,37644.2,0.002644,1.06,1.07,20.39,0.89,1.06,1.07,0.16,0.17
115,Exit Long,盈99,2023-12-01 11:00,37977.9,0.000011,0.004,0.89,19.33,0,0.004,0.89,0.001,0.17
115,Entry Long,做多:98,2023-12-01 02:00,37644.2,0.000011,0.004,0.89,19.33,0,0.004,0.89,0.001,0.17
114,Exit Long,盈99,2023-12-01 11:00,37977.9,0.00264,0.29,0.29,19.32,0.25,0.29,0.29,1.12,1.12
114,Entry Long,做多:97,2023-11-30 21:00,37867.0,0.00264,0.29,0.29,19.32,0.25,0.29,0.29,1.12,1.12
113,Exit Short,做多:97,2023-11-30 21:00,37867.0,0.002631,0.29,0.29,19.03,0.25,1.14,1.14,0.84,0.84
113,Entry Short,做空:96,2023-11-29 20:00,37978.6,0.002631,0.29,0.29,19.03,0.25,1.14,1.14,0.84,0.84
112,Exit Short,盈95,2023-11-20 23:00,36784.5,0.002689,1.01,1.01,18.74,0.86,1.01,1.01,0.95,0.95
112,Entry Short,做空:95,2023-11-20 21:00,37159.9,0.002689,1.01,1.01,18.74,0.86,1.01,1.01,0.95,0.95
111,Exit Long,盈94,2023-11-13 10:00,37321.9,0.002701,0.86,0.86,17.73,0.74,0.86,0.86,0.22,0.22
111,Entry Long,做多:94,2023-11-12 13:00,37003.6,0.002701,0.86,0.86,17.73,0.74,0.86,0.86,0.22,0.22
110,Exit Short,盈93,2023-11-12 07:00,36864.2,0.002679,1.22,1.22,16.87,1.05,1.22,1.22,0.25,0.25
110,Entry Short,做空:93,2023-11-11 09:00,37318.3,0.002679,1.22,1.22,16.87,1.05,1.22,1.22,0.25,0.25
109,Exit Short,损92,2023-11-05 07:00,34978.4,0.002879,-0.75,-0.75,15.65,-0.64,0.05,0.05,0.75,0.75
109,Entry Short,做空:92,2023-11-05 05:00,34718.7,0.002879,-0.75,-0.75,15.65,-0.64,0.05,0.05,0.75,0.75
108,Exit Long,盈91,2023-11-03 23:00,34678.4,0.002916,1.16,1.16,16.40,1.01,1.16,1.16,0.38,0.38
108,Entry Long,做多:91,2023-11-03 20:00,34279.9,0.002916,1.16,1.16,16.40,1.01,1.16,1.16,0.38,0.38
107,Exit Short,损89,2023-10-29 22:00,34442.4,0.002928,-0.99,-0.99,15.24,-0.85,0.51,0.51,0.99,0.99
107,Entry Short,做空:90,2023-10-29 08:00,34103.3,0.002928,-0.99,-0.99,15.24,-0.85,0.51,0.51,0.99,0.99
106,Exit Short,损90,2023-10-29 21:00,34394.7,0.000003,-0.001,-0.85,16.23,0,0.001,0.51,0.001,0.85
106,Entry Short,做空:90,2023-10-29 08:00,34103.3,0.000003,-0.001,-0.85,16.23,0,0.001,0.51,0.001,0.85
105,Exit Short,损90,2023-10-29 21:00,34394.7,0.002928,-0.75,-0.75,16.23,-0.64,0.61,0.61,0.75,0.75
105,Entry Short,做空:89,2023-10-29 02:00,34139.4,0.002928,-0.75,-0.75,16.23,-0.64,0.61,0.61,0.75,0.75
104,Exit Short,损88,2023-10-24 05:00,31771.0,0.003227,-2.57,-2.57,16.98,-2.15,1.14,1.14,2.57,2.57
104,Entry Short,做空:88,2023-10-24 03:00,30975.2,0.003227,-2.57,-2.57,16.98,-2.15,1.14,1.14,2.57,2.57
103,Exit Short,损87,2023-10-14 05:00,26944.7,0.003739,-0.73,-0.73,19.55,-0.6,0.18,0.18,0.73,0.73
103,Entry Short,做空:87,2023-10-14 03:00,26750.1,0.003739,-0.73,-0.73,19.55,-0.6,0.18,0.18,0.73,0.73
102,Exit Long,盈84,2023-10-05 04:00,27715.0,0.00365,1.40,1.4,20.27,1.18,1.40,1.4,0.09,0.09
102,Entry Long,做多:86,2023-10-04 11:00,27331.3,0.00365,1.40,1.4,20.27,1.18,1.40,1.4,0.09,0.09
101,Exit Long,盈85,2023-10-05 04:00,27667.1,0.000008,0.003,1.23,18.87,0,0.003,1.23,0.0002,0.09
101,Entry Long,做多:86,2023-10-04 11:00,27331.3,0.000008,0.003,1.23,18.87,0,0.003,1.23,0.0002,0.09
100,Exit Long,盈85,2023-10-05 04:00,27667.1,0.003641,1.00,1,18.87,0.85,1.00,1,0.69,0.69
100,Entry Long,做多:85,2023-10-04 06:00,27393.3,0.003641,1.00,1,18.87,0.85,1.00,1,0.69,0.69
99,Exit Long,盈86,2023-10-04 18:00,27602.2,0.000008,0.002,0.76,17.87,0,0.002,0.76,0.002,0.69
99,Entry Long,做多:85,2023-10-04 06:00,27393.3,0.000008,0.002,0.76,17.87,0,0.002,0.76,0.002,0.69
98,Exit Long,盈86,2023-10-04 18:00,27602.2,0.00365,0.79,0.79,17.87,0.68,0.79,0.79,0.84,0.84
98,Entry Long,做多:84,2023-10-04 02:00,27384.8,0.00365,0.79,0.79,17.87,0.68,0.79,0.79,0.84,0.84
