time,open,high,low,close,Plot,Plot,Plot,A组1,A组2,B组1,B组2,Volume
2022-12-22,16824.68,16868.52,16559.85,16821.43,16967.543871763082,17430.64617446186,21936.445016477926,19958.563075341594,20830.576248533995,29020.653708724218,29197.51110778603,176044.27235
2022-12-23,16821.9,16955.14,16731.13,16778.5,16949.53969349993,17405.071814679042,21885.122180493072,19914.700136371364,20782.904763257124,28978.219900375087,29160.82274409981,161612.00947
2022-12-24,16778.52,16869.99,16776.62,16836.12,16938.737817928508,17382.759978809278,21834.883352826473,19872.236962076586,20736.472001336453,28936.132898987304,29124.41298710099,100224.29096
2022-12-25,16835.73,16857.96,16721,16832.11,16928.582787649604,17361.165861993228,21785.104513494865,19830.304176392772,20690.538330732496,28894.17788027331,29088.09894578016,125441.07202
2022-12-26,16832.11,16944.52,16791,16919.39,16927.707284063927,17343.84131838565,21736.68944370885,19790.153636028735,20646.1718797827,28852.670816563525,29052.150027181102,124564.00656
2022-12-27,16919.39,16972.83,16592.37,16706.36,16906.626590343552,17318.842050997977,21686.63641441821,19747.618551393858,20599.821151785258,28810.569219279074,29015.677973925027,173749.58616
2022-12-28,16706.06,16785.19,16465.33,16547.31,16872.405962691784,17288.58589213531,21635.498838155345,19703.47636447808,20552.14454999955,28768.062254914155,28978.84379970368,193037.56577
2022-12-29,16547.32,16664.41,16488.91,16633.47,16849.650156721138,17262.895072835887,21585.72740692992,19661.131449105967,20506.042496470145,28726.0012765609,28942.372976070877,160998.47158
2022-12-30,16633.47,16677.35,16333,16607.48,16826.586332271505,17237.19252095997,21536.192606860965,19619.012118773473,20460.177055335203,28683.996003505228,28905.933114989428,164916.31174
2022-12-31,16607.48,16644.09,16470,16542.4,16799.520967293265,17209.945755432127,21486.50312818573,19576.576089549013,20414.085560566553,28641.91074872705,28869.408644930376,114490.42864
2023-01-01,16541.77,16628,16499.01,16616.75,16782.11420850343,17186.68317678773,21438.047873178908,19535.750902106956,20369.411024559886,28600.229082353646,28833.211721311676,96925.41374
2023-01-02,16617.17,16799.23,16548.7,16672.87,16771.70999816977,17166.533640443115,21390.63316797315,19496.262889664104,20325.92230662389,28558.886416556925,28797.287521248716,121888.57191
2023-01-03,16672.78,16778.4,16605.28,16675.18,16762.516665010742,17147.264870229657,21343.713235953514,19457.351401530806,20282.972397134195,28517.695059827092,28761.476273032324,159541.53733
2023-01-04,16675.65,16991.87,16652.66,16850.36,16770.88269691448,17135.621541985358,21299.003253506216,19421.392899440725,20242.58872187379,28477.25369046894,28726.288337218342,220362.18862
2023-01-05,16850.36,16879.82,16753,16831.85,16776.68910673215,17123.708932495734,21254.553967401676,19385.67506634499,20202.462383969396,28436.88833972208,28691.149671524934,163473.56641
2023-01-06,16831.85,17041,16679,16950.65,16793.256810852898,17116.92230769198,21211.72905230315,19352.08851370575,20164.205767687403,28397.07468863119,28656.46577293845,207401.28415
2023-01-07,16950.31,16981.91,16908,16943.57,16807.57235267643,17110.12417797857,21169.25980800163,19318.86756868912,20126.315935126375,28357.37449906921,28621.863422058275,104526.5688
2023-01-08,16943.83,17176.99,16911,17127.83,16838.073080992963,17110.818523940194,21129.046576081215,19288.64636084513,20091.039630007243,28318.45060132547,28587.90763646874,135155.89695
2023-01-09,17127.83,17398.8,17104.66,17178.26,16870.471835184107,17113.463287707244,21089.735266866475,19259.537583454163,20056.7716343601,28279.836422464723,28554.201144189657,266211.52723
2023-01-10,17179.04,17499,17146.34,17440.66,16924.775469928478,17126.294531326566,21053.426060230988,19234.44961678583,20025.99385042645,28242.265620307135,28521.369412596778,221382.42581
2023-01-11,17440.64,18000,17315.6,17943.26,17021.773996601954,17158.33239284317,21022.47913425854,19216.640104830163,20001.491099244962,28206.56716061803,28490.119458645237,262221.60653
2023-01-12,17943.26,19117.04,17892.05,18846.62,17195.568854068435,17224.539749986576,21000.82879461418,19211.5363792463,19987.904380430315,28174.12366959336,28461.63053853107,454568.32178
2023-01-13,18846.62,20000,18714.12,19930.01,17455.99182034763,17330.636622536123,20990.173881234932,19221.446360222213,19987.22327007231,28145.547885643296,28436.42634196229,368615.87823
2023-01-14,19930.01,21258,19888.05,20954.92,17789.223075552618,17472.765382436668,20989.823096347023,19245.356341460527,19998.607937483226,28120.623698864638,28414.324402990467,393913.74951
2023-01-15,20952.76,21050.74,20551.01,20871.5,18082.77325883332,17606.04909292935,20988.645752104763,19267.78590916452,20008.877255865777,28095.496753634605,28392.04131760497,178542.22549
2023-01-16,20872.99,21474.05,20611.48,21185.65,18378.28532942062,17746.425599088983,20990.605993377354,19294.239206969145,20022.721641090884,28071.54581168093,28370.75212612017,293078.08262
2023-01-17,21185.65,21647.45,20841.31,21134.81,18640.81148852342,17879.303418732554,20992.04085911489,19319.626390321293,20035.805033548637,28047.501666753094,28349.375635348766,275407.74409
2023-01-18,21132.29,21650,20407.15,20677.47,18834.778965806905,17989.035441527354,20988.91080081524,19338.355267696174,20043.354033153948,28021.955629779946,28326.711216928237,350916.01949
2023-01-19,20677.47,21192,20659.19,21071.59,19047.80858811101,18109.919934016478,20989.73347941409,19362.261953658985,20055.45092688155,27997.8642411152,28305.278067099793,251385.84925
2023-01-20,21071.59,22755.93,20861.28,22667.21,19392.513484481387,18288.637191506026,21006.424788076638,19407.847443953342,20086.177504212355,27979.387103364366,28288.62203145105,338079.13659
2023-01-21,22666,23371.8,22422,22783.55,19715.469343102206,18464.9082820352,21024.107626006222,19454.408858519502,20117.911298280444,27961.377269383902,28272.358893987384,346445.48432
2023-01-22,22783.35,23078.71,22292.37,22707.88,20000.460834235328,18631.299329798527,21040.86157997631,19499.284322539923,20148.381518300674,27943.16757347616,28255.92025619126,253577.75286
2023-01-23,22706.02,23180,22500,22916.45,20278.174088117677,18799.344454120153,21059.52415131983,19546.417642229026,20180.94702985008,27925.743942372257,28240.1463411065,293588.37938
2023-01-24,22917.81,23162.2,22462.93,22632.89,20502.432746392184,18949.679573566424,21075.17953289874,19588.989674750006,20209.793417734196,27907.39782818726,28223.58132975907,293158.78254
2023-01-25,22631.94,23816.73,22300,23060.94,20746.10010387864,19110.90547264225,21094.938343516664,19636.878644753455,20243.33631870203,27890.59901422474,28208.32980441266,346042.83223
2023-01-26,23060.42,23282.47,22850.01,23009.65,20961.676284461628,19263.797414891575,21113.990200795106,19683.39962896375,20275.881185540828,27873.680646757755,28192.971813853095,288924.43581
2023-01-27,23009.65,23500,22534.88,23074.16,21162.865209750995,19413.223398621318,21133.49437790162,19730.16873752977,20308.802112769758,27857.044526665006,28177.849770089866,280833.86315
2023-01-28,23074.16,23189,22878.46,23022.6,21339.98280882233,19554.767579067542,21152.291448768272,19775.581582529358,20340.729146737172,27840.287353262353,28162.620080961093,148115.71085
2023-01-29,23021.4,23960.54,22967.76,23742.3,21568.77492226782,19718.984536751166,21178.062678133763,19830.29494001171,20380.747627363795,27826.082891032675,28149.561528284692,295688.78553
2023-01-30,23743.37,23800.51,22500,22826.15,21688.524929670886,19840.834162760926,21194.461556958304,19871.61707877017,20409.517067041867,27808.75210111575,28133.83505405047,302405.90121
2023-01-31,22827.38,23320,22714.77,23125.13,21825.34446017842,19969.63007794677,21213.67218823235,19916.493119062994,20441.465454488432,27792.517709084153,28119.038288750467,264649.34909
2023-02-01,23125.13,23812.66,22760.23,23732.66,22006.993559209048,20117.199878811603,21238.73674357332,19969.129903627643,20480.18539031798,27778.44541199894,28106.08000724751,310790.42271
2023-02-02,23731.41,24255,23363.27,23488.94,22148.131315474853,20249.424981603304,21261.12682572682,20017.679008405194,20515.58250337306,27763.577109011076,28092.4400072261,364177.20751
2023-02-03,23489.33,23715.7,23204.62,23431.9,22270.394999715343,20374.227923501214,21282.726558804166,20064.771711737536,20549.892120980436,27748.562630296998,28078.671794501653,332571.02904
2023-02-04,23431.9,23587.78,23253.96,23326.84,22371.008809266263,20490.01663238352,21303.065996029996,20109.76575709288,20582.562096027727,27733.236035391288,28064.63388668924,166126.47295
2023-02-05,23327.66,23433.33,22743,22932.91,22424.52320838376,20585.816372290046,21319.28334930333,20148.705677684702,20610.213247839165,27716.59712365683,28049.47369795456,209251.33917
2023-02-06,22932.91,23158.25,22628.13,22762.52,22456.71337901388,20671.177298866907,21333.643912991854,20184.75828902698,20635.534503746938,27699.42527920741,28033.854927798122,265371.6069
2023-02-07,22762.52,23350.25,22745.78,23240.46,22531.35591434589,20771.933483225068,21352.617207389947,20226.905898833505,20666.1806860558,27683.96959366423,28019.69423377213,308006.72482
2023-02-08,23242.42,23452,22665.85,22963,22572.46487488438,20857.857660353497,21368.640916769153,20264.64512781511,20693.20208974926,27667.605747585672,28004.755698369554,280056.30717
2023-02-09,22961.85,23011.39,21688,21796.35,22498.54917251444,20894.661281516106,21372.896728542593,20285.772091569386,20706.18030045809,27647.254774457127,27986.414765730355,402894.6955
2023-02-10,21797.83,21938.16,21451,21625.19,22415.372108465443,20923.30946655469,21375.407109353117,20304.246821340843,20716.992179276232,27626.381066400085,27967.62237351254,338591.94247
2023-02-11,21625.19,21906.32,21599.78,21862.55,22362.722383849687,20960.142428650583,21380.254302294878,20325.740658287865,20730.469330108277,27606.402449185527,27949.586709189014,177021.58433
2023-02-12,21862.02,22090,21630,21783.54,22307.562156816384,20992.432529487814,21384.26709530687,20345.848235414927,20742.858396812884,27586.21921712596,27931.370913888604,204435.65163
2023-02-13,21782.37,21894.99,21351.07,21773.97,22256.743856167206,21023.081057743195,21388.14473614959,20365.546466650583,20754.98912155626,27566.07277269918,27913.180660080958,295730.76791
2023-02-14,21774.63,22319.08,21532.77,22199.84,22251.32444129414,21069.22846724346,21396.221305939143,20390.847067110575,20771.98736718501,27547.472312481852,27896.302253404203,361958.40109
2023-02-15,22199.84,24380,22047.28,24324.05,22448.726875456603,21196.868527351562,21425.353929760644,20445.09814204698,20813.776339335775,27536.299271537373,27885.749070971695,375669.16111
2023-02-16,24322.87,25250,23505.25,23517.72,22550.535744460736,21287.88231059268,21446.1734926486,20487.47913319116,20845.587441225944,27522.370053958388,27872.844996906784,450080.68366
2023-02-17,23517.72,25021.11,23339.37,24569.97,22742.862816416855,21416.59163174591,21477.25604496055,20543.789352043696,20889.403706623285,27512.13643158765,27863.08761139155,496813.1994
2023-02-18,24568.24,24877,24430,24631.95,22922.77588152001,21542.68411677548,21508.646034562935,20600.17777477413,20933.433663015952,27502.15311640017,27853.542153159968,216917.25213
2023-02-19,24632.05,25192,24192.57,24271.76,23051.250559470485,21649.706700431343,21536.139705860816,20650.82028822552,20972.70809050988,27490.95591322374,27842.960817404695,300395.99542
2023-02-20,24272.51,25121.23,23840.83,24842.2,23221.817172854247,21774.9025161007,21569.03582819056,20708.632422181032,21018.231524739178,27481.774783541856,27834.095940543826,346938.56997
2023-02-21,24843.89,25250,24148.34,24452.16,23338.992680201463,21879.89300566538,21597.723630895132,20760.267285323363,21058.63068327166,27471.2735191275,27824.104992418143,376000.82868
2023-02-22,24450.67,24476.05,23574.69,24182.21,23419.299091610847,21970.17994661968,21623.43991317478,20807.466495180972,21095.37867523317,27459.872952336762,27813.3460707271,379425.75365
2023-02-23,24182.21,24599.59,23608,23940.2,23468.908701933622,22047.435634987534,21646.492252347172,20850.67661248882,21128.847161406895,27447.673046089494,27801.903984846074,398400.45437
